Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Modelling and Computer Simulations","1991","April","4","96"
"ACM Transactions on Modelling and Computer Simulations","1991","January","8","292"
"ACM Transactions on Modelling and Computer Simulations","1991","July","3","17"
"ACM Transactions on Modelling and Computer Simulations","1992","April","3","94"
"ACM Transactions on Modelling and Computer Simulations","1992","January","7","175"
"ACM Transactions on Modelling and Computer Simulations","1992","July","4","130"
"ACM Transactions on Modelling and Computer Simulations","1993","April","4","17"
"ACM Transactions on Modelling and Computer Simulations","1993","January","7","94"
"ACM Transactions on Modelling and Computer Simulations","1993","July","5","26"
"ACM Transactions on Modelling and Computer Simulations","1994","April","4","63"
"ACM Transactions on Modelling and Computer Simulations","1994","January","7","51"
"ACM Transactions on Modelling and Computer Simulations","1994","July","4","72"
"ACM Transactions on Modelling and Computer Simulations","1995","April","3","2"
"ACM Transactions on Modelling and Computer Simulations","1995","January","6","270"
"ACM Transactions on Modelling and Computer Simulations","1995","July","4","112"
"ACM Transactions on Modelling and Computer Simulations","1996","April","3","38"
"ACM Transactions on Modelling and Computer Simulations","1996","January","7","124"
"ACM Transactions on Modelling and Computer Simulations","1996","July","3","62"
"ACM Transactions on Modelling and Computer Simulations","1997","April","4","106"
"ACM Transactions on Modelling and Computer Simulations","1997","January","11","407"
"ACM Transactions on Modelling and Computer Simulations","1997","July","4","94"
"ACM Transactions on Modelling and Computer Simulations","1998","April","4","37"
"ACM Transactions on Modelling and Computer Simulations","1998","January","10","840"
"ACM Transactions on Modelling and Computer Simulations","1998","July","3","25"
"ACM Transactions on Modelling and Computer Simulations","1999","April","4","39"
"ACM Transactions on Modelling and Computer Simulations","1999","January","8","131"
"ACM Transactions on Modelling and Computer Simulations","1999","July","3","74"
"ACM Transactions on Modelling and Computer Simulations","2000","April","4","65"
"ACM Transactions on Modelling and Computer Simulations","2000","January","7","77"
"ACM Transactions on Modelling and Computer Simulations","2000","July","4","63"
"ACM Transactions on Modelling and Computer Simulations","2001","April","2","0"
"ACM Transactions on Modelling and Computer Simulations","2001","January","4","50"
"ACM Transactions on Modelling and Computer Simulations","2001","July","4","114"
"ACM Transactions on Modelling and Computer Simulations","2001","October","4","131"
"ACM Transactions on Modelling and Computer Simulations","2002","April","3","54"
"ACM Transactions on Modelling and Computer Simulations","2002","January","3","50"
"ACM Transactions on Modelling and Computer Simulations","2002","July","4","89"
"ACM Transactions on Modelling and Computer Simulations","2002","October","5","179"
"ACM Transactions on Modelling and Computer Simulations","2003","April","5","185"
"ACM Transactions on Modelling and Computer Simulations","2003","January","4","75"
"ACM Transactions on Modelling and Computer Simulations","2003","July","4","79"
"ACM Transactions on Modelling and Computer Simulations","2003","October","7","70"
"ACM Transactions on Modelling and Computer Simulations","2004","April","5","103"
"ACM Transactions on Modelling and Computer Simulations","2004","January","4","104"
"ACM Transactions on Modelling and Computer Simulations","2004","July","4","40"
"ACM Transactions on Modelling and Computer Simulations","2004","October","4","36"
"ACM Transactions on Modelling and Computer Simulations","2005","April","3","24"
"ACM Transactions on Modelling and Computer Simulations","2005","January","4","95"
"ACM Transactions on Modelling and Computer Simulations","2005","July","4","21"
"ACM Transactions on Modelling and Computer Simulations","2005","October","4","75"
"ACM Transactions on Modelling and Computer Simulations","2006","April","4","34"
"ACM Transactions on Modelling and Computer Simulations","2006","January","5","287"
"ACM Transactions on Modelling and Computer Simulations","2006","July","4","67"
"ACM Transactions on Modelling and Computer Simulations","2006","October","4","24"
"ACM Transactions on Modelling and Computer Simulations","2007","April","6","34"
"ACM Transactions on Modelling and Computer Simulations","2007","December","4","35"
"ACM Transactions on Modelling and Computer Simulations","2007","January","4","26"
"ACM Transactions on Modelling and Computer Simulations","2007","July","4","65"
"ACM Transactions on Modelling and Computer Simulations","2007","September","5","43"
"ACM Transactions on Modelling and Computer Simulations","2008","April","4","29"
"ACM Transactions on Modelling and Computer Simulations","2008","December","4","42"
"ACM Transactions on Modelling and Computer Simulations","2008","July","4","33"
"ACM Transactions on Modelling and Computer Simulations","2008","September","5","16"
"ACM Transactions on Modelling and Computer Simulations","2009","June","5","11"
"ACM Transactions on Modelling and Computer Simulations","2009","March","5","25"
"ACM Transactions on Modelling and Computer Simulations","2009","October","6","49"
"ACM Transactions on Modelling and Computer Simulations","2010","April","4","25"
"ACM Transactions on Modelling and Computer Simulations","2010","December","8","17"
"ACM Transactions on Modelling and Computer Simulations","2010","January","6","70"
"ACM Transactions on Modelling and Computer Simulations","2010","October","6","79"
"ACM Transactions on Modelling and Computer Simulations","2010","September","7","37"
"ACM Transactions on Modelling and Computer Simulations","2011","August","6","26"
"ACM Transactions on Modelling and Computer Simulations","2011","December","6","63"
"ACM Transactions on Modelling and Computer Simulations","2011","February","6","23"
"ACM Transactions on Modelling and Computer Simulations","2011","March","7","34"
"ACM Transactions on Modelling and Computer Simulations","2012","August","5","7"
"ACM Transactions on Modelling and Computer Simulations","2012","March","6","46"
"ACM Transactions on Modelling and Computer Simulations","2012","November","6","50"
"ACM Transactions on Modelling and Computer Simulations","2013","January","14","20"
"ACM Transactions on Modelling and Computer Simulations","2013","July","6","21"
"ACM Transactions on Modelling and Computer Simulations","2013","October","5","16"
"ACM Transactions on Modelling and Computer Simulations","2014","August","6","6"
"ACM Transactions on Modelling and Computer Simulations","2014","February","6","20"
"ACM Transactions on Modelling and Computer Simulations","2014","January","12","19"
"ACM Transactions on Modelling and Computer Simulations","2015","April","8","3"
"ACM Transactions on Modelling and Computer Simulations","2015","December","9","5"
"ACM Transactions on Modelling and Computer Simulations","2015","January","12","11"
"ACM Transactions on Modelling and Computer Simulations","2015","November","7","2"
"ACM Transactions on Modelling and Computer Simulations","2016","February","7","0"
"ACM Transactions on Modelling and Computer Simulations","2016","January","6","0"
"ACM Transactions on Modelling and Computer Simulations","2016","March","6","0"
