Name,Year,Month,ArticleCount,CitationCount
"ACM Transactions on Spatial Algorithms and Systems","2015","August","4","0"
"ACM Transactions on Spatial Algorithms and Systems","2015","November","4","6"
"ACM Transactions on Spatial Algorithms and Systems","2016","April","4","0"
